epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7044,0.84196,3.25249,1.08303,0.22344,0.43207,0.23905,0.19198,0.82199,2.15095,0.99951,0.000174937,0.000174937,0.000174937
2,62.6073,0.77976,2.33788,1.02969,0.24796,0.53643,0.27646,0.22175,0.77805,1.90703,0.96428,0.000348889,0.000348889,0.000348889
3,90.864,0.7738,2.05359,1.01907,0.38687,0.52762,0.44296,0.36304,0.79592,1.68506,0.96748,0.000517348,0.000517348,0.000517348
4,118.032,0.72978,1.81754,1.00006,0.45319,0.5846,0.50917,0.42383,0.752,1.52705,0.93643,0.000507533,0.000507533,0.000507533
5,146.158,0.7133,1.62435,0.99489,0.59219,0.5935,0.63579,0.53329,0.73135,1.23237,0.93243,0.000493472,0.000493472,0.000493472
6,174.504,0.69577,1.49216,0.98455,0.77799,0.58628,0.6833,0.57442,0.71152,1.17317,0.92355,0.000475776,0.000475776,0.000475776
7,202.847,0.66796,1.36231,0.97729,0.77945,0.64223,0.72608,0.61033,0.71066,1.0295,0.92368,0.000454726,0.000454726,0.000454726
8,230.974,0.66205,1.25686,0.97723,0.78636,0.69025,0.75994,0.64448,0.6993,0.88027,0.91022,0.000430652,0.000430652,0.000430652
9,257.263,0.64784,1.19597,0.97142,0.82845,0.71118,0.80457,0.68262,0.69182,0.80306,0.91662,0.000403935,0.000403935,0.000403935
10,283.65,0.63812,1.10818,0.96545,0.84442,0.74119,0.82524,0.70328,0.67558,0.73351,0.90639,0.000374995,0.000374995,0.000374995
11,310.115,0.62805,1.06953,0.95635,0.83879,0.75934,0.82144,0.70351,0.65984,0.72715,0.89978,0.00034429,0.00034429,0.00034429
12,338.764,0.6197,1.00695,0.95673,0.89274,0.7259,0.84031,0.72089,0.66654,0.69343,0.8998,0.000312303,0.000312303,0.000312303
13,367.771,0.61106,0.98033,0.95286,0.91334,0.76543,0.85258,0.73352,0.64152,0.61974,0.89369,0.000279539,0.000279539,0.000279539
14,396.329,0.59894,0.93798,0.94342,0.88221,0.81002,0.87185,0.74862,0.65403,0.60365,0.89365,0.000246514,0.000246514,0.000246514
15,425.118,0.57865,0.89398,0.94042,0.90351,0.79707,0.87089,0.75125,0.64052,0.57374,0.88665,0.00021375,0.00021375,0.00021375
16,455.112,0.56252,0.64559,0.89024,0.89552,0.79324,0.87451,0.74862,0.64593,0.55979,0.88928,0.000181763,0.000181763,0.000181763
17,484.613,0.5526,0.59778,0.88789,0.929,0.8078,0.88362,0.75684,0.63628,0.54766,0.88715,0.000151058,0.000151058,0.000151058
18,514.375,0.5446,0.5607,0.88304,0.94418,0.80826,0.88914,0.7684,0.61391,0.51244,0.87721,0.000122118,0.000122118,0.000122118
19,544.191,0.52849,0.53006,0.87952,0.92777,0.8235,0.89488,0.77184,0.60674,0.4965,0.87548,9.54006e-05,9.54006e-05,9.54006e-05
20,574.357,0.51834,0.51509,0.872,0.92178,0.83691,0.8988,0.77584,0.60166,0.48743,0.87516,7.13267e-05,7.13267e-05,7.13267e-05
21,604.334,0.51627,0.49772,0.87035,0.94464,0.83104,0.90084,0.78192,0.59947,0.4682,0.87425,5.02761e-05,5.02761e-05,5.02761e-05
22,634.938,0.50911,0.48589,0.8683,0.96398,0.82289,0.90164,0.78108,0.59638,0.46077,0.87149,3.25807e-05,3.25807e-05,3.25807e-05
23,664.8,0.50198,0.47759,0.86668,0.96309,0.82994,0.90296,0.78347,0.59505,0.45745,0.87122,1.85195e-05,1.85195e-05,1.85195e-05
24,694.467,0.5024,0.47287,0.86409,0.96312,0.8266,0.90469,0.7851,0.59088,0.45266,0.87069,8.3144e-06,8.3144e-06,8.3144e-06
25,723.983,0.497,0.46894,0.87003,0.95648,0.82915,0.90444,0.78474,0.58874,0.44943,0.87015,2.12623e-06,2.12623e-06,2.12623e-06
